,Keyword,Frequency
0,new,53
1,for,48
2,class,30
3,this,25
4,public,23
5,return,16
6,void,15
7,if,14
8,do,10
9,init,10
10,byte,9
11,boolean,6
12,import,6
13,static,6
14,else,5
15,final,5
16,while,5
17,default,4
18,double,4
19,extends,4
20,float,4
21,break,3
22,switch,3
23,case,3
24,char,3
25,continue,3
26,const,3
27,try,2
28,implements,2
29,interface,2
30,long,2
31,native,2
32,package,2
33,short,2
34,super,2
35,abstract,1
36,assert,1
37,catch,1
38,finally,1
39,enum,1
40,instanceOf,1
41,private,1
42,protected,1
43,strictfp,1
44,synchronized,1
45,throw,1
46,throws,1
47,transient,1
48,volatile,1
49,goto,1
